Drug_Name,Reason,Description
Acno 0.05% Gel 15gmAcno 20mg Capsule 10'S,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Acnoff Anti Acne Bar 100gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Acnorm Lotion 180ml,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Acnovate Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
Acnovate Trio Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
Acutret 10mg Capsule 10'SAcutret 30mg Capsule 10'SAcutret 20mg Capsule 10'SAcutret 5mg Capsule 10'S,Acne,treat the most severe form of acne (nodular acne)Â 
Aczit 10mg Softgel 10'S,Acne,Â treat acne vulgarisÂ 
Adabor Gel 15gm,Acne,Â treat acne vulgarisÂ 
Adacin Gel 15gm,Acne,Â treat mild to moderate acne(spots)
Adaclene Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Adaferin Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Adalene Nano Gel 15mg,Acne,"Â gives smooth, soft, supple and fresh feeling to the skin"
Adapen Gel 15gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
Adaple Gel 15gmAdaple C Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Adapnil Gel 15gm,Acne,Mild to moderate acne (spots)
Adiff Aqueous Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Adistar Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Adistarc Gel 10gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Adit 0.05% Cream 20gmAdit 0.025% Cream 20gm,Acne,treat the most severe form of acne (nodular acne)Â 
Adlene Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
Admark Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
Ahaglow Acne Control Moisturizing Gel 50gm,Acne,Â treat acne vulgarisÂ 
Airet 0.50% Cream 15gmAiret 0.10% Cream 15gm,Acne,Â treat acne vulgarisÂ 
Airol Cream 20gmAirol 0.03% Cream 20gmAirol 0.05% Cream 20gm,Acne,Â treat mild to moderate acne(spots)
Aknaybar Bathing Bar 100gm,Acne,treatment of dry scaly skin disorders of the scalp
Akneroxid 10% Gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin
ALAN Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Alene Gel 15gm,Acne,Mild to moderate acne (spots)
Alesa 2.5% Gel 1gmAlesa 5% Gel 1gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Alight Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Alight Plus Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Alite Cream 15gmAlite Soap 75gm,Acne,treat the most severe form of acne (nodular acne)Â 
Alite Plus Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
Allyte 1% Gel 20gm,Acne,treat the most severe form of acne (nodular acne)Â 
Alonurish Anti Acne Foaming Face Wash 60ml,Acne,Â treat acne vulgarisÂ 
Amypure Tablet 90'SAmypure Tablet 100'S,Acne,Â treat acne vulgarisÂ 
AP Gel 10gm,Acne,Â treat mild to moderate acne(spots)
Apalene C Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Athoderm 1% Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Atranza 10mg Capsule 100'S,Acne,treatment of dry scaly skin disorders of the scalp
Atret 0.5% Cream 30gmATRET 0.025% Cream 30gm,Acne,Mild to moderate acne (spots)
Azac Cream 15gmAzac Soap 75gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Azecne 20% Cream 15gmAzecne 10% Cream 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Aziderm 10% Cream 15gmAziderm 20% Gel 15gmAziderm 10% Gel 15gmAziderm 20% Cream 15gmAziderm 15% Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Azobril 15% Cream 20gm,Acne,treat the most severe form of acne (nodular acne)Â 
Baclytic Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
Bdiff A Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
Bende Gel(Topical) 20gmBende Gel(Topical) 30gm,Acne,Â treat acne vulgarisÂ 
Bengel 5% Gel 30gmBengel AC 5% Gel 30gmBengel 2.5% Gel 30gm,Acne,Â treat acne vulgarisÂ 
Bengel AC 2.5% Gel 30gm,Acne,Â treat mild to moderate acne(spots)
Bengel Acra 2.5% Gel 30gm,Acne,treatment of dry scaly skin disorders of the scalp
Benzac AC 2.5% Gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Benzac AC 5% Gel 20gm,Acne,"Â gives smooth, soft, supple and fresh feeling to the skin"
Benzer 5% Gel 20gmBenzer 2.5% Gel 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
Benzonext 5% Gel 20gmBenzonext Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp
Benzonix 1.25% Soap 75gmBenzonix 2.5% Soap 75gmBenzonix Gel 20gm,Acne,Mild to moderate acne (spots)
Benzox AC 5% Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Blokage Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Botanica 3D Serum 30ml,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Brevoxyl Cream 20gm,Acne,treat the most severe form of acne (nodular acne)Â 
Brevoxyl Creamy Wash Lotion 50gm,Acne,treat the most severe form of acne (nodular acne)Â 
Brite Opti Cream 10gm,Acne,treat the most severe form of acne (nodular acne)Â 
Calosoft Plus Cream 30gm,Acne,Â treat acne vulgarisÂ 
Camyda 300mg Capsule 10'SCamyda 1% Gel 10gm,Acne,Â treat acne vulgarisÂ 
Canvaz Gel(Topical) 15gm,Acne,Â treat mild to moderate acne(spots)
Cdiff A Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Cinason N Gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Cleargel Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp
Cleargel AP Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Clearliv Capsule 60'S,Acne,"Â gives smooth, soft, supple and fresh feeling to the skin"
CLENCHIN Gel(Topical) 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
CLENCHIN Z Cream 10gm,Acne,Mild to moderate acne (spots)
Cliac Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Click Gel 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Clid 1% Gel 20gmClid Gel 30gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Cliface Gel 20gm,Acne,treat the most severe form of acne (nodular acne)Â 
Cliface A Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
Cligel N Gel 20gmCligel Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
Cligel A Gel 15gm,Acne,Â treat acne vulgarisÂ 
Cligel T Gel 15gm,Acne,Â treat acne vulgarisÂ 
Climple 1% Gel 15gm,Acne,Â treat mild to moderate acne(spots)
Climple A Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Clin 1% Gel 10gmClin Tablet 10's,Acne,Mild to moderate acne (spots)
Clin 3 Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Clin AD Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Clinadd Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Clinapil 1% Gel 10gm,Acne,treat the most severe form of acne (nodular acne)Â 
Clincent 1% Gel 20gm,Acne,treat the most severe form of acne (nodular acne)Â 
Clincent A Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
Clincin Gel 20gmCLINCIN Gel 10gm,Acne,Â treat acne vulgarisÂ 
Clincin N GE Gel 20gm,Acne,Â treat acne vulgarisÂ 
Clincitop Gel 20gmClincitop Gel(Topical) 15gm,Acne,Â treat mild to moderate acne(spots)
Clinda 1% Gel 10gm,Acne,treatment of dry scaly skin disorders of the scalp
Clindac A Foaming Facewash 50ml,Acne,combined with anti-acne actives of both natural and synthetic origin
Clindac A Solution 25mlCLINDAC A 1% Gel 20gmClindac A Gel 15gm,Acne,"Â gives smooth, soft, supple and fresh feeling to the skin"
Clindakem A Gel 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
Clindap Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp
Clindapene Gel 15gm,Acne,Mild to moderate acne (spots)
Clindasure 300mg Capsule 10'SClindasure 150mg Capsule 10'S,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Clindoxyl Gel 15gmClindoxyl Gel 10gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Clinet Gel 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Clingard Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
Clinka Gel 20gm,Acne,treat the most severe form of acne (nodular acne)Â 
Clinka N Gel 10gm,Acne,treat the most severe form of acne (nodular acne)Â 
CLINKRICK Gel 10gm,Acne,Â treat acne vulgarisÂ 
Clinlup 1% Gel 10gm,Acne,Â treat acne vulgarisÂ 
Clinmax A Gel 30gmClinmax Gel 20gm,Acne,Â treat mild to moderate acne(spots)
Clinmiface A Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Clinopak 300Mg Tablet 10'sClinopak Gel 20gmClinopak 150Mg Tablet 10's,Acne,combined with anti-acne actives of both natural and synthetic origin
Clinoxid 15% Gel 15gmClinoxid 1% Gel 15gmClinoxid 1/2.5 Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Clinxa Gel 20gm,Acne,Mild to moderate acne (spots)
Clinxa A Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Comedolytic Cream 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Cortina H Cream 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Cosmoderm Kit 1'S,Acne,treat the most severe form of acne (nodular acne)Â 
Cospeel Shampoo 50ml,Acne,treat the most severe form of acne (nodular acne)Â 
Crixan Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
D Acne Soap 75gmD Acne Gel 10gm,Acne,Â treat acne vulgarisÂ 
D Acne I 20mg Capsule 10'SD Acne I 10mg Capsule 10'S,Acne,Â treat acne vulgarisÂ 
D Acne Plus Gel 15gm,Acne,Â treat mild to moderate acne(spots)
Dalcihit 300Mg Capsule 10's,Acne,treatment of dry scaly skin disorders of the scalp
Decdan Lite Cream 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Decroma 6% Cream 30gm,Acne,treatment of dry scaly skin disorders of the scalp
Depiglare Cream 15gm,Acne,Mild to moderate acne (spots)
Deriva Aqueous Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Deriva Bpo Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Deriva Cms Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Deriva MS Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
Derlin Gel 10gm,Acne,treat the most severe form of acne (nodular acne)Â 
DERMADEW B Bar 75gm,Acne,treat the most severe form of acne (nodular acne)Â 
Dersol BH Ointment 30gm,Acne,Â treat acne vulgarisÂ 
Doxt SL 100mg/5B Tablet 8'S,Acne,Â treat acne vulgarisÂ 
DS ACNE Face Wash 100gm,Acne,Â treat mild to moderate acne(spots)
EGA Night Cream 30gm,Acne,treatment of dry scaly skin disorders of the scalp
Elosone HT Cream 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Emolene Cream 100gm,Acne,"Â gives smooth, soft, supple and fresh feeling to the skin"
ENCLINA Gel(Topical) 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
ENCLINA ADP Gel(Topical) 20gm,Acne,treatment of dry scaly skin disorders of the scalp
Enshine Ointment 15gm,Acne,Mild to moderate acne (spots)
Entice Acne Bar 75gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Entice Natura Soap 75gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Epiduo Gel 30gmEpiduo Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Erytop Lotion 25mlErytop Gel 20gm,Acne,treat the most severe form of acne (nodular acne)Â 
Erytop A Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
Ethitret 20mg Capsule 10'SEthitret 10mg Capsule 10'S,Acne,treat the most severe form of acne (nodular acne)Â 
Eudyna 0.05% Cream 20gm,Acne,Â treat acne vulgarisÂ 
Eunozit 10mg Capsule 10'S,Acne,Â treat acne vulgarisÂ 
Exazel 15% Cream 15gmExazel 10% Cream 15gmExazel Cream 10gmExazel 20% Cream 15gm,Acne,Â treat mild to moderate acne(spots)
Exazel N Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Excela Cream 50gm,Acne,combined with anti-acne actives of both natural and synthetic origin
EXCEX Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Exel Cream 16Gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Ezanic 10% Gel 15gmEzanic 10% Cream 15gmEzanic 20% Gel 15gmEzanic 20% Cream 15gm,Acne,"Â gives smooth, soft, supple and fresh feeling to the skin"
Fabeau Soap 1'S,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
Facebenz A Gel 15gm,Acne,Mild to moderate acne (spots)
Faceclin Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Faceclin A Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Faceclin AT Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Femcinol A Gel 20gm,Acne,treat the most severe form of acne (nodular acne)Â 
Femcinol Adp Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
Femolink Cream 20gm,Acne,treat the most severe form of acne (nodular acne)Â 
Flexon Cream 15gm,Acne,Â treat acne vulgarisÂ 
Foracne Plus Gel 15gm,Acne,Â treat acne vulgarisÂ 
ZIT 20mg Capsule 10'sZIT 10mg Capsule 10's,Acne,Â treat acne vulgarisÂ 
Zitblow 20mg Capsule 10'SZitblow 10mg Capsule 10'S,Acne,Â treat acne vulgarisÂ 
Zitclin Foam Wash Gel 100ml,Acne,Â treat mild to moderate acne(spots)
Zyclin Nano Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Addnok Tablet 20'S,Adhd,combined with anti-acne actives of both natural and synthetic origin
Armod 150mg Tablet 10'SArmod 50mg Tablet 10'S,Adhd,treatment of dry scaly skin disorders of the scalp
Atokem 25mg Tablet 10'SAtokem 10mg Tablet 10'SAtokem 18mg Tablet 10'S,Adhd,Mild to moderate acne (spots)
Atrest 12.5mg Tablet 10'SAtrest 25mg Tablet 10'S,Adhd,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Attentin 10mg Capsule 10'SAttentin 18mg Capsule 10'SAttentin 25mg Capsule 10'S,Adhd,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Attentrol 10mg Capsule 10'SAttentrol 25mg Capsule 10'SAttentrol 40 mg Capsule 10'SAttentrol 18mg Capsule 10'S,Adhd,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Attera 10mg Tablet 10'SAttera 18mg Tablet 10'SAttera 40mg Tablet 10'SAttera 25mg Tablet 10'S,Adhd,treat the most severe form of acne (nodular acne)Â 
Axepta 18mg Tablet 10'SAxepta 60mg Tablet 10'SAxepta 40mg Tablet 10'SAxepta 25mg Tablet 10'SAxepta 10mg Tablet 10'S,Adhd,treat the most severe form of acne (nodular acne)Â 
Capnea Injection 1ml,Adhd,treat the most severe form of acne (nodular acne)Â 
Modafil MD 100mg Tablet 10'SModafil MD 200mg Tablet 10'S,Adhd,Â treat acne vulgarisÂ 
Modalert 200mg Tablet 10'SModalert 100mg Tablet 10'S,Adhd,Â treat acne vulgarisÂ 
Modapro 100mg Tablet 10'SModapro 200mg Tablet 10'S,Adhd,Â treat mild to moderate acne(spots)
Modatec 100mg Tablet 10'SModatec 200mg Tablet 10'S,Adhd,treatment of dry scaly skin disorders of the scalp
Provake 100mg Tablet 10'SProvake 200mg Tablet 10'S,Adhd,combined with anti-acne actives of both natural and synthetic origin
Tomoxetin 18mg Capsule 10'S,Adhd,treatment of dry scaly skin disorders of the scalp
Vitibex Lip Gel 20gm,Adhd,Mild to moderate acne (spots)
Waklert 150mg Tablet 5'SWaklert 150mg Tablet 10'SWaklert 250mg Tablet 5'SWaklert 50mg Tablet 10'SWaklert 100mg Tablet 10,Adhd,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
1 AL Plus Capsule 10'S1 AL 10mg Tablet 15'S1 AL 5mg Tablet 10'S1 AL Max Tablet 10'S1 AL Syrup 30ml,Allergies,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
1 AL M 10/5mg Tablet 10'S,Allergies,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
ABICET M Tablet 10's,Allergies,treat the most severe form of acne (nodular acne)Â 
Acolate M Kid Syrup 60ml,Allergies,treat the most severe form of acne (nodular acne)Â 
Adril Lotion 100ml,Allergies,treat the most severe form of acne (nodular acne)Â 
Afineday Tablet 10'S,Allergies,Â treat acne vulgarisÂ 
AIR 180mg Tablet 10'sAIR 120mg Tablet 10's,Allergies,Â treat acne vulgarisÂ 
Airitis 5mg Tablet 10'SAiritis Syrup 30ml,Allergies,Â treat mild to moderate acne(spots)
Airkast L Tablet 10'S,Allergies,treatment of dry scaly skin disorders of the scalp
Airlung Tablet 10'S,Allergies,combined with anti-acne actives of both natural and synthetic origin
Airlung FX 10/120mg Tablet 10'S,Allergies,"Â gives smooth, soft, supple and fresh feeling to the skin"
Airtek 10/5mg Tablet 10'S,Allergies,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
Akair LC 10/5mg Tablet 10'S,Allergies,treatment of dry scaly skin disorders of the scalp
Akuminic Syrup 60ml,Allergies,Mild to moderate acne (spots)
Alaspan 10mg Tablet 10'S,Allergies,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Alaspan AM Tablet 10'S,Allergies,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Alaspan Oral Solution 60ml,Allergies,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Alastin 10mg Tablet 10'S,Allergies,treat the most severe form of acne (nodular acne)Â 
Alcarex Eye Drops,Allergies,treat the most severe form of acne (nodular acne)Â 
Alcet 5mg Tablet 10'S,Allergies,treat the most severe form of acne (nodular acne)Â 
Alcon Plus Tablet 10'S,Allergies,Â treat acne vulgarisÂ 
Alday Duo 4/2.5mg Syrup 60ml,Allergies,Â treat acne vulgarisÂ 
ALDEX SR 6mg Tablet 10's,Allergies,Â treat mild to moderate acne(spots)
Aldine 5mg Tablet 10'S,Allergies,treatment of dry scaly skin disorders of the scalp
Alecloz 180mg Tablet 10'SAlecloz 120mg Tablet 10'S,Allergies,combined with anti-acne actives of both natural and synthetic origin
Alenix 5mg Tablet 10'SAlenix 10mg Tablet 10'S,Allergies,Good for Allergic skin
Alerdain M Tablet 10'S,Allergies,Itching can be soothen
Alerdain M Kid Tablet 10'S,Allergies,relief from itching
Alerfex 120mg Tablet 10'S,Allergies,soothens allergies and good for all types of skin
Alerfix 5mg Tablet 10'S,Allergies,skin care for allergy
Alerfix M Tablet 15'S,Allergies,Good for Allergic skin
ALERFRI AF Drops 15ml,Allergies,Itching can be soothen
Alergin Tablet 10'S,Allergies,relief from itching
Alergin L Tablet 10'S,Allergies,soothens allergies and good for all types of skin
Alergin LX Syrup 30ml,Allergies,skin care for allergy
Alergin NF Syrup 30ml,Allergies,Â improve the appearance of fine lines
Alergo 120mg Tablet 10'S,Allergies,relief from allergy
Alerid 10mg Tablet 10'SAlerid Syrup 30mlAlerid Syrup 60ml,Allergies,releief from all type of allergies
Alerid D Tablet 10'S,Allergies,relief from allergy
Aleriz Tablet 500'S,Allergies,soothens allergies and good for all types of skin
Alermed 180mg Tablet 10'SAlermed Tablet 10'S,Allergies,skin care for allergy
Alernex 120mg Tablet 10'S,Allergies,Good for Allergic skin
Alert 180mg Tablet 10'SAlert 120mg Tablet 10'S,Allergies,Itching can be soothen
Alert L 5mg Tablet 10'S,Allergies,relief from itching
ALERTAC 10mg Tablet 10's,Allergies,soothens allergies and good for all types of skin
Alertriz 5mg Tablet 10'S,Allergies,skin care for allergy
Alervo M Tablet 10'S,Allergies,Â improve the appearance of fine lines
Alexo 120mg Tablet 10'S,Allergies,relief from allergy
Alexo M 10/120mg Tablet 10'S,Allergies,releief from all type of allergies
ALGO 10mg Tablet 10's,Allergies,relief from allergy
Algrot 120mg Tablet 10'SAlgrot 30mg Suspension 60ml,Allergies,soothens allergies and good for all types of skin
Alides 5mg Tablet 10'S,Allergies,skin care for allergy
ALL 3 5mg Tablet 10'S,Allergies,Good for Allergic skin
ALLEFAST 120mg Tablet 10'sALLEFAST 180mg Tablet 10's,Allergies,Itching can be soothen
Allegix 120mg Tablet 6'SAllegix 180mg Tablet 6'S,Allergies,relief from itching
Allegra 30mg Tablet 10'SAllegra Suspension 100ml,Allergies,soothens allergies and good for all types of skin
Allegra 60mg Tablet 10'SAllegra 120mg Tablet 10'SALLEGRA Syrup 60mlAllegra 180mg Tablet 10'S,Allergies,skin care for allergy
Allegra M Tablet 10'S,Allergies,Â improve the appearance of fine lines
Allelin 10mg Tablet 10'S,Allergies,relief from allergy
